Provinsi,Tahun,Rata_Rata_Lama_Sekolah,Tingkat_Pengangguran_Terbuka,Persentase_Penduduk_Miskin
PAPUA BARAT,2023,10.14,5.38,20.49
PAPUA BARAT,2024,9.87,4.13,21.66
PAPUA BARAT,2025,9.9,4.55,20.66
RIAU,2015,8.89,7.83,8.42
RIAU,2016,8.97,7.43,7.98
RIAU,2017,9.06,6.22,7.78
RIAU,2018,9.11,5.98,7.39
RIAU,2019,9.35,5.76,7.08
RIAU,2020,9.47,6.32,6.82
RIAU,2021,9.52,4.42,7.12
RIAU,2022,9.54,4.37,6.78
RIAU,2023,9.6,4.23,6.68
RIAU,2024,9.69,3.7,6.67
RIAU,2025,9.8,4.16,6.16
SULAWESI BARAT,2015,7.49,3.35,12.4
SULAWESI BARAT,2016,7.76,3.33,11.74
SULAWESI BARAT,2017,7.84,3.21,11.3
SULAWESI BARAT,2018,7.94,3.01,11.25
SULAWESI BARAT,2019,8.22,2.98,11.02
SULAWESI BARAT,2020,8.33,3.32,10.87
SULAWESI BARAT,2021,8.39,3.13,11.29
SULAWESI BARAT,2022,8.47,2.34,11.75
SULAWESI BARAT,2023,8.48,2.27,11.49
SULAWESI BARAT,2024,8.56,2.68,11.21
SULAWESI BARAT,2025,8.91,2.86,10.41
SULAWESI SELATAN,2015,8.2,5.95,9.39
SULAWESI SELATAN,2016,8.31,4.8,9.4
SULAWESI SELATAN,2017,8.42,5.61,9.38
SULAWESI SELATAN,2018,8.45,4.94,9.06
SULAWESI SELATAN,2019,8.73,4.62,8.69
SULAWESI SELATAN,2020,8.86,6.31,8.72
SULAWESI SELATAN,2021,8.95,5.72,8.78
SULAWESI SELATAN,2022,9.09,4.51,8.63
SULAWESI SELATAN,2023,9.12,4.33,8.7
SULAWESI SELATAN,2024,9.22,4.19,8.06
SULAWESI SELATAN,2025,9.38,4.21,7.6
SULAWESI TENGAH,2015,8.35,4.1,14.66
SULAWESI TENGAH,2016,8.56,3.29,14.45
SULAWESI TENGAH,2017,8.64,3.81,14.14
SULAWESI TENGAH,2018,8.74,3.37,14.01
SULAWESI TENGAH,2019,8.98,3.11,13.48
SULAWESI TENGAH,2020,9.09,3.77,12.92
SULAWESI TENGAH,2021,9.18,3.75,13.0
SULAWESI TENGAH,2022,9.17,3.0,12.33
SULAWESI TENGAH,2023,9.22,2.95,12.41
SULAWESI TENGAH,2024,9.28,2.94,11.77
SULAWESI TENGAH,2025,9.38,2.92,10.92
SULAWESI TENGGARA,2015,8.74,5.55,12.9
SULAWESI TENGGARA,2016,8.86,2.72,12.88
SULAWESI TENGGARA,2017,8.93,3.3,12.81
SULAWESI TENGGARA,2018,9.03,3.19,11.63
SULAWESI TENGGARA,2019,9.25,3.52,11.24
SULAWESI TENGGARA,2020,9.41,4.58,11.0
SULAWESI TENGGARA,2021,9.52,3.92,11.66
SULAWESI TENGGARA,2022,9.59,3.36,11.17
SULAWESI TENGGARA,2023,9.62,3.15,11.43
SULAWESI TENGGARA,2024,9.74,3.09,11.21
SULAWESI TENGGARA,2025,9.9,3.31,10.54
SULAWESI UTARA,2015,9.19,9.03,8.65
SULAWESI UTARA,2016,9.31,6.18,8.34
SULAWESI UTARA,2017,9.4,7.18,8.1
SULAWESI UTARA,2018,9.51,6.61,7.8
SULAWESI UTARA,2019,9.63,6.01,7.66
SULAWESI UTARA,2020,9.74,7.37,7.62
SULAWESI UTARA,2021,9.83,7.06,7.77
SULAWESI UTARA,2022,9.87,6.61,7.28
SULAWESI UTARA,2023,9.94,6.1,7.38
SULAWESI UTARA,2024,10.02,5.85,7.25
SULAWESI UTARA,2025,10.1,5.99,6.71
SUMATERA BARAT,2015,8.85,6.89,7.31
SUMATERA BARAT,2016,8.97,5.09,7.09
SUMATERA BARAT,2017,9.02,5.58,6.87
SUMATERA BARAT,2018,9.1,5.66,6.65
SUMATERA BARAT,2019,9.22,5.38,6.42
SUMATERA BARAT,2020,9.34,6.88,6.28
SUMATERA BARAT,2021,9.46,6.52,6.63
SUMATERA BARAT,2022,9.51,6.28,5.92
SUMATERA BARAT,2023,9.59,5.94,5.95
SUMATERA BARAT,2024,9.72,5.75,5.97
SUMATERA BARAT,2025,10.03,5.62,5.35
SUMATERA SELATAN,2015,8.26,6.07,14.25
SUMATERA SELATAN,2016,8.32,4.31,13.54
SUMATERA SELATAN,2017,8.41,4.39,13.19
SUMATERA SELATAN,2018,8.48,4.27,12.8
SUMATERA SELATAN,2019,8.6,4.53,12.71
SUMATERA SELATAN,2020,8.68,5.51,12.66
SUMATERA SELATAN,2021,8.78,4.98,12.84
SUMATERA SELATAN,2022,8.82,4.63,11.9
SUMATERA SELATAN,2023,8.9,4.11,11.78
SUMATERA SELATAN,2024,8.98,3.86,10.97
SUMATERA SELATAN,2025,9.28,3.69,10.15
SUMATERA UTARA,2015,9.34,6.71,10.53
SUMATERA UTARA,2016,9.46,5.84,10.35
SUMATERA UTARA,2017,9.55,5.6,10.22
SUMATERA UTARA,2018,9.61,5.55,9.22
SUMATERA UTARA,2019,9.71,5.39,8.83
SUMATERA UTARA,2020,9.83,6.91,8.75
SUMATERA UTARA,2021,9.88,6.33,9.01
SUMATERA UTARA,2022,9.99,6.16,8.42
SUMATERA UTARA,2023,10.07,5.89,8.15
SUMATERA UTARA,2024,10.18,5.6,7.99
SUMATERA UTARA,2025,10.29,5.32,7.36
